floor,639,422,110,412,image_20210130-214519.png,640,480
floor,111,396,1,396,image_20210130-214519.png,640,480
floor,2,417,588,408,image_20210130-214529.png,640,480
floor,638,412,594,409,image_20210130-214529.png,640,480
floor,1,419,478,406,image_20210130-214542.png,640,480
floor,639,435,532,445,image_20210130-214542.png,640,480
floor,526,445,508,443,image_20210130-214542.png,640,480
floor,485,407,495,421,image_20210130-214542.png,640,480
floor,501,422,512,438,image_20210130-214542.png,640,480
floor,2,406,638,413,image_20210130-214552.png,640,480
